1;CD0010;Conc;Fourrages déshydratés et agglomérés;Luzerne déshydratée, protéines < 16 % sur sec;91.4000015258789;0.730000019073486;0.639999985694885;46;93;6;6.69129578730775;1.6808197994806;1.77365054924997;0.382999986410141;883;60;154;66;306;467;64;345;88;27;12;23;2.70000004768372;2,0;22.1000003814697;6.59999990463257;2,0;498;4390;57;2090;60;60;75;82;80;52;52;4.6;0.61;24.8;5.8;212;7;26;51;0.5;0.100000001490116;0.400000005960464;;;;5.50045075999088;1.62308381319524;4.77908041522098;4.77908041522098;8.47610423836116;1.2623985333177;5.0495941332708;9.01713253440156;5.68079366866114;14.4274120550425;5.68079366866114;12.2633005907624;5.59062199934081;5.68079366866114;6.49233525278097;3.69702425311056;3.64900070234157;6.69129578730775;1.77365054924997;4.63526622522687;5.07605193811792;6.55828383874056;1.6808197994806;5.15167686517554;8.6897127542864;5.2697990234821;11.5560889132698;5.06175548944225;12.719827725787;4.47809414003872;6.77103093572205;6.67555412369234;4.05180122100469;;2,0;1.89999997615814;25.6000003814697;1.39999997615814;3.79999995231628;4.40000009536743;19.2999992370605;37,0;3.59999990463257;;2.90000009536743;;0.699999988079071
2;CD0020;Conc;Fourrages déshydratés et agglomérés;Luzerne déshydratée, protéines 16-18 % sur sec;90.8000030517578;0.730000019073486;0.649999976158142;50;97;16;6.74225681388185;1.69928901868987;1.85970293816854;0.382999986410141;880;61;170;68;302;464;64;341;87;31;12;24;2.5;1.89999997615814;22.2000007629395;6.69999980926514;2,0;515;4410;58;2100;60;60;75;82;80;52;52;6.3;0.38;25.7;5.7;121;6;25;33;0.5;0.200000002980232;0.5;61000;;201.15;5.71428556290884;1.82539678755261;5.00000015137688;4.8412697655814;8.17460332598005;1.34920638705057;5.15873015873016;9.12698412698413;5.79365094502767;13.8095235067701;5.55555555555556;12.142857294234;5.47619055187891;5.71428556290884;6.50793635655963;3.80952396090069;3.52220531241393;6.74225681388185;1.85970293816854;4.68756380096299;5.08396713275579;6.48109257337556;1.69928901868987;5.19022960933226;8.75987976409152;5.32365877075696;11.4010717548668;5.02283975570262;12.6560678617537;4.4616957584681;6.78755848696238;6.66806919639382;4.06093031413937;;2,0;1.89999997615814;25.6000003814697;1.39999997615814;3.79999995231628;4.40000009536743;19.2999992370605;37,0;3.59999990463257;;2.90000009536743;;0.699999988079071
3;CD0030;Conc;Fourrages déshydratés et agglomérés;Luzerne déshydratée, protéines 17-19 % sur sec;90.5999984741211;0.75;0.660000026226044;53;100;21;6.7376674601726;1.74972433149581;1.90383312659466;0.382999986410141;877;62;179;69;290;453;64;330;85;31;12;25;2.70000004768372;2,0;23.2999992370605;7,0;2,0;516;4420;59;2140;60;60;75;82;80;52;52;2.9;0.43;26,0;6,0;333;7;25;36;0.899999976158142;0.300000011920929;0.5;;;;5.76070916743739;1.92023627175605;5.16986707512665;4.87444602897127;7.97636648534881;1.47710487860761;5.16986707512665;9.23190549129758;5.83456434093392;13.5155090757889;5.46528812128202;12.112259722847;5.39143294778549;5.68685364177161;6.4992616067412;3.91432806917787;3.42368043295943;6.7376674601726;1.90383312659466;4.73253116851258;5.08884199497931;6.42923353621804;1.74972433149581;5.18763761674721;8.82732324667121;5.34947143235807;11.3307304706785;4.9935172334012;12.6363396797275;4.44756870983494;6.77658405676763;6.66172941503639;4.07311589133576;;2,0;1.89999997615814;25.6000003814697;1.39999997615814;3.79999995231628;4.40000009536743;19.2999992370605;37,0;3.59999990463257;;2.90000009536743;;0.699999988079071
4;CD0040;Conc;Fourrages déshydratés et agglomérés;Luzerne déshydratée, protéines 19-22 % sur sec;90.8000030517578;0.790000021457672;0.709999978542328;60;107;33;6.76558494009685;1.78438595001283;1.9662457990022;0.377999991178513;869;64;201;71;261;426;65;302;80;31;15;30;2.70000004768372;2,0;25,0;7.5;2.09999990463257;537;4430;61;2230;60;60;75;82;80;52;52;3.1;0.43;27.1;6.3;344;6;33;35;0.899999976158142;0.300000011920929;0.200000002980232;61000;;201.15;5.93490762253004;2.04211874038616;5.42437782332122;4.97766447723806;7.72176161546149;1.5954052421533;5.23292907254306;9.31716685761479;5.99872346705689;12.9546900794058;5.29674552566872;11.9974469341138;5.29674552566872;5.67964241862623;6.5092532662657;4.02042133194608;3.27160507045383;6.76558494009685;1.9662457990022;4.80528482684639;5.1122384572471;6.36862900025496;1.78438595001283;5.20260275735462;8.90994175340663;5.43990590283569;11.1793370274554;4.93243574549705;12.5641591879885;4.4484244615461;6.77495369706147;6.65075570279007;4.08337362960201;;2,0;1.89999997615814;25.6000003814697;1.39999997615814;3.79999995231628;4.40000009536743;19.2999992370605;37,0;3.59999990463257;;2.90000009536743;;0.699999988079071
5;CD0050;Conc;Fourrages déshydratés et agglomérés;Luzerne déshydratée, protéines 22-25 % sur sec;90.1999969482422;0.829999983310699;0.75;74;121;52;6.7675136879094;1.83359095813177;2.07583115685252;0.382999986410141;871;66;233;73;237;405;66;280;76;29;17;34;3.09999990463257;2.29999995231628;22.3999996185303;6.69999980926514;2.09999990463257;557;4500;63;2330;60;60;80;82;80;52;52;6.5;0.46;27.5;6,0;149;7;37;35;0.899999976158142;0.300000011920929;0.600000023841858;101000;;335.25;6.10727564101643;2.23048317629553;5.68242158208743;5.04514074692661;7.4349442586287;1.75252254992492;5.31067447044907;9.39989421786716;6.10727564101643;12.373871110974;5.09824769421726;11.8959106112198;5.20446108233316;5.68242158208743;6.47902275265479;4.1954328823013;3.13786016204791;6.7675136879094;2.07583115685252;4.8929515366102;5.11300769519901;6.29977403470171;1.83359095813177;5.217407923251;9.02263642447959;5.52408922146745;11.0024195159924;4.853664175179;12.4687887129996;4.47024353408766;6.77712786973075;6.61892640776812;4.1020134928172;;2,0;1.89999997615814;25.6000003814697;1.39999997615814;3.79999995231628;4.40000009536743;19.2999992370605;37,0;3.59999990463257;;2.90000009536743;;0.699999988079071
6;CD0060;Conc;Fourrages déshydratés et agglomérés;Luzerne déshydratée, protéines > 25 % sur sec;90.4000015258789;0.819999992847443;0.740000009536743;83;130;72;6.78852342330528;1.89092638122287;2.14226199218764;0.382999986410141;871;66;264;74;243;410;66;285;77;29;20;39;3.20000004768372;2.29999995231628;24.1000003814697;7.19999980926514;2.09999990463257;564;4560;63;2330;60;60;80;82;80;52;52;3.4;0.6;26.8;5.3;352;7;32;36;0.5;0.0399999991059303;;;;;6.21856442310503;2.33196154964812;5.89849091439449;5.07544599503904;7.27023302807368;1.87471417842172;5.34979415613583;9.46502093323848;6.21856442310503;11.9798814749837;4.9839961719417;11.796981828789;5.12117047052263;5.66986722878129;6.44718810871823;4.2981251151021;3.01552114888464;6.78852342330528;2.14226199218764;4.97004308489303;5.11485176974095;6.25130049398701;1.89092638122287;5.22911999730174;9.0999131741788;5.60238515806942;10.8672692428573;4.80072214461188;12.3976847848022;4.46173876217727;6.77221760792142;6.60006159759976;4.11676303624006;;2,0;1.89999997615814;25.6000003814697;1.39999997615814;3.79999995231628;4.40000009536743;19.2999992370605;37,0;3.59999990463257;;2.90000009536743;;0.699999988079071
7;CD0070;Conc;Fourrages déshydratés et agglomérés;Herbe déshydratée;90,0;0.920000016689301;0.870000004768372;51;103;2;6.61160113104963;1.97834137822018;2.29833495340212;0.395999997854233;914;72;162;71;260;542;78;307;37;12;17;34;2.70000004768372;2,0;6.30000019073486;2.5;1.70000004768372;511;4460;68;2550;61;60;80;82;80;48;50;1.1;1.87;23,0;5.7;441;6;27;119;0.200000002980232;0.0700000002980232;0.400000005960464;;;181.78;5.31045755357845;2.85947714423455;5.39215682264201;4.98366008775136;6.61764741688681;1.87908494153971;5.22875828451489;8.74182997083077;5.80065355753266;12.4183005848466;4.98366008775136;12.9084969783737;6.86274483450464;5.88235282659622;7.10784303126817;3.02287587714809;2.85714289498708;6.61160113104963;2.29833495340212;4.78025817239479;5.15207206845393;5.90361703476676;1.97834137822018;5.24272254903008;8.58160052231485;5.32121669838425;10.9910418178324;4.74460605993343;12.9709715131555;5.01176238063124;6.87196906886381;6.79977000578732;3.97240311525216;;0.200000002980232;2,0;23.5;2,0;4.30000019073486;6,0;18.6000003814697;40.7999992370605;;;;;
8;CD0080;Conc;Fourrages déshydratés et agglomérés;Paille de blé;90.1999969482422;0.5;0.379999995231628;10;53;-58;7.3252426326772;2.17103854870999;1.86879289737357;0.665000021457672;934;45;39;0;416;780;68;500;75;8;11;14;0.699999988079071;0.400000005960464;4.40000009536743;2.40000009536743;1.10000002384186;144;4410;41;1510;61;60;65;82;80;21;18;1.1;0.17;11.9;6,0;76;4;14;46;0.800000011920929;0.200000002980232;;1000;699.999988079071;;5.19;1.9;4.15;5.71;8.65;1.9;3.81;6.57;3.46;11.94;6.06;14.01;11.25;6.06;7.09;2.25;3.12;7.3252426326772;1.86879289737357;4.60727418379198;5.44236796942465;6.0968545997342;2.17103854870999;5.18953634748616;7.98756759145316;4.84513921563361;10.9013047782055;4.83210783359746;13.2439789901169;4.90085922719133;6.86171063425109;6.89403339169846;4.06917229073017;;;;;;;;;;;;;;
9;CD0090;Conc;Fourrages déshydratés et agglomérés;Maïs, stade laiteux;91,0;0.895624535105331;0.844594215868808;20.7490936476;73.969111306824;-50.5803531525375;6.56139727822319;2.05307134478909;2.08741044586366;0.3655427;950;69.63;76;43.1818181818182;223;496;;247;27;170;18.75;25;1.8;1.26;2.3;0.92;1.5;345.668660794197;4360.198;66.83963;2482.3200277574;61.547269;61;77.0629605;86.531;90;;;1.4;0.4;15,0;2,0;258.168660794197;6;25;60;0.05;0.05;0.05;1000;10;20;2.98614429049212;2.77114190157668;4.6225513616818;4.59866220735786;6.13951266125179;1.66029622551362;4.35977066411849;11.7892976588629;5.47061634018156;8.65981844242714;5.303392259914;17.4510272336359;7.52508361204013;4.80172001911132;7.85953177257525;4.00143334925944;3.12;6.56139727822319;2.08741044586366;4.64015601910681;5.21294066309531;5.7566380765009;2.05307134478909;5.15509763314167;9.12864230193349;5.17040850664578;10.3692650761983;4.76244078120051;14.0425730501368;4.6073141725642;6.55399350987205;6.95824935909471;4.13697727316439;;;;;;;;;;;;;;
10;CD0100;Conc;Fourrages déshydratés et agglomérés;Maïs, stade vitreux;91,0;0.916771259001376;0.86950206556613;19.6570360872;71.4978071528642;-50.8871711101003;6.5863347549646;2.05776843419923;2.0828938926273;0.3440026;954;70.63;72;40.5405405405405;195;450;;215;23;300;22.5;30;1.8;1.26;2.3;0.92;1.5;381.782781415359;4372.441;67.84063;2531.4387740883;61.547269;61;77.82217926;75.343;70;;;1.2;0.4;23,0;8,0;306.782781415359;6;25;60;0.05;0.05;0.05;1000;10;20;2.98614429049212;2.77114190157668;4.6225513616818;4.59866220735786;6.13951266125179;1.66029622551362;4.35977066411849;11.7892976588629;5.47061634018156;8.65981844242714;5.303392259914;17.4510272336359;7.52508361204013;4.80172001911132;7.85953177257525;4.00143334925944;3.12;6.5863347549646;2.0828938926273;4.64117111282656;5.21814085077248;5.75723677226933;2.05776843419923;5.16401724117745;9.11015679834873;5.16995234646063;10.3809722039383;4.75908360932718;14.0256856030729;4.5895922695968;6.55928805661434;6.95854829714395;4.13818767068437;;;;;;;;;;;;;;
