11;FV0110;Fourrage;FOURRAGES VERTS;Prairies Permanentes, Plaine (Normandie) 2e cycle après coupe épiaison Repousses feuillues de 7 semaines ;18.8;0.94;0.89;40;93;11;6.8;2.14;2.54;2.6;1.04;1.02;1.03;903;72;155;70;272;70;550;70;303;70;18;28;3.8;2.7;6.9;2.4;2.2;411;4434;69;2591;69;69;83;4;3.1;20;8.4;161;7;35;110;0.1;0.02;0.1;25000;30;20;5.4;3.68;5.21;5.14;6.85;2.18;5.05;9.19;5.83;9.15;4.94;13.28;6.21;6.05;7.5;4.33;3.12;6.8;2.54;4.73;5.24;5.96;2.14;5.21;8.68;5.3;10.17;4.7;13.11;4.6;6.93;6.88;4.14;1;16.8;1.4;2.4;4.3;17.2;51.6
12;FV0120;Fourrage;FOURRAGES VERTS;Prairies Permanentes, Plaine (Normandie) 2e cycle après coupe épiaison Repousses feuillues de 9 semaines ;19.8;0.9;0.85;33;85;-9;7.13;2.03;2.03;2.5;1.09;1.04;1.07;902;70;128;63;272;69;550;67;303;66;15;25;3.8;2.7;6.5;2.3;2.2;411;4383;67;2497;68;66;80;4;3.1;20;8.4;161;7;35;110;0.1;0.02;0.1;25000;30;20;6.06;2.34;6.02;5.17;6.68;1.85;5.31;9.12;5.61;10.69;4.98;13.55;5.87;5.72;7.25;3.78;3.12;7.13;2.03;4.88;5.28;5.9;2.03;5.36;8.62;5.23;10.6;4.71;13.21;4.41;6.8;6.86;4.09;1;17.6;1.4;2.5;4.4;17.8;49.6
13;FV0130;Fourrage;FOURRAGES VERTS;Prairies Permanentes, Plaine (Normandie) 3e cycle Repousses feuillues de 6 semaines ;15.7;0.96;0.91;52;104;47;6.64;2.12;2.65;2.9;0.94;0.97;0.95;895;73;201;76;269;74;547;72;300;71;23;33;4;2.8;6;2.1;2.4;559;4477;70;2637;71;73;89;3.5;2.9;25;7.4;340;7;40;130;0.1;0.02;0.1;25000;30;20;5.4;3.68;5.21;5.14;6.85;2.18;5.05;9.19;5.83;9.15;4.94;13.28;6.21;6.05;7.5;4.33;3.12;6.64;2.65;4.73;5.2;5.98;2.12;5.15;8.76;5.33;10.04;4.72;13.1;4.74;6.95;6.87;4.13;1;15.7;1.4;2.3;4;16.3;54.5
14;FV0140;Fourrage;FOURRAGES VERTS;Prairies Permanentes, Plaine (Normandie) 3e cycle Repousses feuillues de 8 semaines ;16.9;0.95;0.91;44;97;30;6.73;2.13;2.58;2.5;1.09;1.04;1.07;876;74;178;72;248;71;528;72;283;71;21;30;4;2.8;5.6;2;2.4;559;4350;71;2599;71;71;86;3.5;2.9;25;7.4;340;7;40;130;0.1;0.02;0.1;25000;30;20;5.4;3.68;5.21;5.14;6.85;2.18;5.05;9.19;5.83;9.15;4.94;13.28;6.21;6.05;7.5;4.33;3.12;6.73;2.58;4.73;5.22;5.97;2.13;5.19;8.72;5.31;10.12;4.71;13.11;4.66;6.94;6.88;4.13;1;16.2;1.4;2.4;4.2;16.8;53.1
15;FV0150;Fourrage;FOURRAGES VERTS;Prairies Permanentes, Demi-Montagne (Auvergne) 1er cycle 1-10 mai, déprimage ;14;1.08;1.07;51;107;54;6.68;2.13;2.62;3.3;0.83;0.92;0.87;892;81;210;79;180;82;467;81;228;81;23;33;3;2.1;5.1;1.8;2.3;488;4396;77;2901;74;78;93;1.7;0.5;23;4.4;381;6;50;100;0.1;0.02;0.1;25000;30;20;5.4;3.68;5.21;5.14;6.85;2.18;5.05;9.19;5.83;9.15;4.94;13.28;6.21;6.05;7.5;4.33;3.12;6.68;2.62;4.73;5.21;5.97;2.13;5.17;8.74;5.32;10.08;4.72;13.1;4.7;6.94;6.87;4.13;1;15.7;1.4;2.3;4;16.3;54.5
16;FV0160;Fourrage;FOURRAGES VERTS;Prairies Permanentes, Demi-Montagne (Auvergne) 1er cycle 15-25 mai, pâturage ;16.7;1.05;1.03;40;96;18;6.82;2.15;2.52;3;0.91;0.96;0.93;905;79;166;73;224;78;485;79;247;78;19;29;2.7;1.9;5.1;1.8;2.3;368;4379;76;2829;72;74;87;1.9;0.5;19;5;249;5;40;95;0.1;0.02;0.1;25000;30;20;5.4;3.68;5.21;5.14;6.85;2.18;5.05;9.19;5.83;9.15;4.94;13.28;6.21;6.05;7.5;4.33;3.12;6.82;2.52;4.73;5.25;5.95;2.15;5.22;8.67;5.3;10.19;4.7;13.11;4.58;6.93;6.89;4.14;1;16.5;1.4;2.4;4.2;17;52.4
17;FV0170;Fourrage;FOURRAGES VERTS;Prairies Permanentes, Demi-Montagne (Auvergne) 1er cycle 1-10 juin, début épiaison ;16.2;0.95;0.9;34;88;10;7.13;2.03;2.03;2.4;1.12;1.05;1.09;917;73;149;69;262;73;530;71;287;70;17;27;2.4;1.7;4.8;1.7;2.2;311;4403;70;2601;73;73;85;2;0.5;17;5.2;186;4;30;125;0.1;0.02;0.1;25000;30;20;6.06;2.34;6.02;5.17;6.68;1.85;5.31;9.12;5.61;10.69;4.98;13.55;5.87;5.72;7.25;3.78;3.12;7.13;2.03;4.88;5.27;5.9;2.03;5.35;8.63;5.23;10.6;4.71;13.21;4.41;6.8;6.86;4.09;1;17;1.4;2.5;4.3;17.3;51.2
18;FV0180;Fourrage;FOURRAGES VERTS;Prairies Permanentes, Demi-Montagne (Auvergne) 1er cycle 15-25 juin, épiaison ;20.4;0.83;0.77;26;78;-16;7.22;2.07;2.01;2.3;1.2;1.08;1.14;928;66;111;63;304;65;583;63;331;62;13;23;1.8;1.2;4.5;1.6;2.2;311;4387;63;2342;70;69;80;2;0.5;17;5.2;186;4;30;125;0.1;0.02;0.1;25000;30;20;6.06;2.34;6.02;5.17;6.68;1.85;5.31;9.12;5.61;10.69;4.98;13.55;5.87;5.72;7.25;3.78;3.12;7.22;2.01;4.85;5.3;5.88;2.07;5.39;8.57;5.22;10.65;4.7;13.21;4.32;6.81;6.88;4.11;1;18.2;1.4;2.6;4.5;18.1;48.2
19;FV0190;Fourrage;FOURRAGES VERTS;Prairies Permanentes, Demi-Montagne (Auvergne) 1er cycle 1-10 juillet, floraison ;21.7;0.71;0.62;21;70;-25;7.27;2.09;2;1.9;1.39;1.14;1.27;917;59;92;58;323;55;595;54;344;52;11;21;1.5;1;3.5;1.2;2.2;311;4304;56;2036;70;67;77;2;0.5;17;5.2;186;4;30;125;0.1;0.02;0.1;25000;30;20;6.06;2.34;6.02;5.17;6.68;1.85;5.31;9.12;5.61;10.69;4.98;13.55;5.87;5.72;7.25;3.78;3.12;7.27;2;4.84;5.32;5.88;2.09;5.41;8.54;5.21;10.68;4.69;13.21;4.26;6.81;6.88;4.12;1;18.8;1.4;2.6;4.6;18.5;46.6
20;FV0200;Fourrage;FOURRAGES VERTS;Prairies Permanentes, Demi-Montagne (Auvergne) 2e cycle après coupe épiaison Repousses feuillues de 6 semaines ;18.5;0.96;0.92;52;105;54;6.65;2.12;2.64;2.6;1.04;1.02;1.03;905;74;209;76;229;73;512;71;263;69;23;33;2.4;1.7;7;2.5;2.2;234;4453;71;2640;72;73;90;2.3;0.5;14;5.2;91;6;45;150;0.1;0.02;0.1;25000;30;20;5.4;3.68;5.21;5.14;6.85;2.18;5.05;9.19;5.83;9.15;4.94;13.28;6.21;6.05;7.5;4.33;3.12;6.65;2.64;4.73;5.2;5.98;2.12;5.15;8.76;5.33;10.05;4.72;13.1;4.73;6.94;6.87;4.13;1;15.7;1.4;2.3;4;16.3;54.5
